1,2
1,5
1,22
1,23
1,25
1,28
1,30
1,32
1,38
1,78
1,85
1,87
3,13
3,14
3,16
3,18
3,20
3,24
3,37
3,44
3,52
3,54
3,56
3,57
3,58
3,64
3,70
3,74
3,75
3,76
3,77
3,79
3,82
3,88
3,89
3,90
5,22
5,23
5,25
5,28
5,30
5,32
5,38
5,78
5,85
5,87
6,7
6,12
6,31
6,35
6,50
6,59
6,71
6,72
6,81
6,95
6,96
7,12
7,31
7,35
7,50
7,59
7,71
7,72
7,81
7,95
7,96
8,11
8,15
8,21
8,24
8,26
8,29
8,33
8,41
8,46
8,52
8,55
8,63
8,80
8,92
9,10
9,13
9,15
9,16
9,17
9,18
9,19
9,27
9,33
9,34
9,36
9,37
9,40
9,42
9,43
9,47
9,48
9,49
9,53
9,58
9,60
9,61
9,62
9,65
9,66
9,69
9,83
9,84
9,86
9,90
9,91
9,93
10,13
10,15
10,16
10,17
10,18
10,19
10,27
10,33
10,34
10,36
10,37
10,40
10,42
10,43
10,47
10,48
10,49
10,53
10,58
10,60
10,61
10,62
10,65
10,66
10,69
10,83
10,84
10,86
10,90
10,91
10,93
11,15
11,21
11,24
11,26
11,29
11,33
11,41
11,46
11,52
11,55
11,63
11,80
11,92
12,31
12,35
12,50
12,59
12,71
12,72
12,81
12,95
12,96
13,14
13,15
13,16
13,17
13,18
13,19
13,20
13,27
13,33
13,34
13,36
13,37
13,40
13,42
13,43
13,47
13,48
13,49
13,53
13,54
13,58
13,60
13,61
13,62
13,65
13,66
13,69
13,75
13,82
13,83
13,84
13,86
13,89
13,90
13,91
13,93
14,20
14,54
14,75
14,82
14,89
15,16
15,17
15,18
15,19
15,21
15,24
15,26
15,27
15,29
15,33
15,33
15,34
15,36
15,37
15,40
15,41
15,42
15,43
15,46
15,47
15,48
15,49
15,52
15,53
15,55
15,58
15,60
15,61
15,62
15,63
15,65
15,66
15,69
15,80
15,83
15,84
15,86
15,90
15,91
15,92
15,93
16,17
16,18
16,18
16,19
16,24
16,27
16,33
16,34
16,36
16,37
16,37
16,40
16,42
16,43
16,44
