Id,Ano,Título,Detetive,Personagens Principais,tipo de morte,CEP,Local Assassinato,Motivo
80,1952,They Do It with Mirrors,8,,"S, J ",inglaterra,Quarto,Medo
81,1930,Harlequin s Lane,9,14,K,inglaterra,Festa,
82,1930,The Bird with the Broken Wing,9,14,I,inglaterra,Quarto,Passional
83,1930,The Voice in the Dark,9,14,A,"franca, inglaterra",Banheira,Dinheiro
84,1929,Finessing the King,10,,K,inglaterra,Boate,Dinheiro
85,1941,N or M,10,,S,inglaterra,Hotel,Vingança
86,1929,The House of Lurking Death,10,,J,inglaterra,Quarto,Dinheiro
87,1929,The Man in the Mist,10,,M,inglaterra,Quarto,Vingança
88,1934,Accident,11,,"J, H",inglaterra,Quarto,Amor
89,1949,Crooked House,11,,J,"inglaterra, egito",Quarto,Passional
90,1958,Ordeal by Innocence,11,,K,,Quarto,"Amor, Dinheiro"
91,1945,Sparking Cyanide,11,,J,franca,Festa,Dinheiro
92,1934,The Gate of Baghdad,11,,K,iraque,Carro,Medo
93,1924,The Man in the Brown Suit,11,,"K, G","inglaterra, africa do sul",Navio,Dinheiro
94,1961,The Pale Horse,11,,"J, M",inglaterra,,Aleatório
95,1931,The Sittaford Mystery,11,,M,inglaterra,Quarto,
96,1934,Why Did not They ask Evans,11,,"H, S, F",escocia,Arlivre,
